"G","A","PM","PIM","S","ATOI","BLK","HIT","FO","Pos"
13,22,-11,78,110,993,40,174,48.5,"W"
4,12,9,10,70,1544,8,24,33.3,"W"
10,1,-6,9,66,775,41,152,45.2,"C"
29,36,4,24,200,1075,17,65,45.3,"W"
1,3,-5,6,24,975,13,10,0,"D"
1,11,-7,40,84,1205,144,141,0,"D"
4,4,-2,8,28,559,9,18,43.5,"C"
19,11,-1,42,188,1082,24,109,41.9,"W"
3,6,-6,50,47,563,11,77,45.3,"W"
8,14,-15,10,111,869,18,38,31.8,"W"
20,11,-17,22,130,1007,40,15,45.7,"C"
0,10,-9,18,40,917,41,14,0,"D"
4,5,-1,14,28,892,14,80,0,"W"
5,6,-2,25,42,1346,16,86,38.5,"W"
12,17,3,22,128,756,39,86,46.7,"W"
29,32,20,36,247,1065,52,30,33.3,"W"
16,17,-15,16,170,919,28,24,41.6,"W"
24,22,19,14,231,1134,29,32,32.3,"W"
3,6,4,8,69,813,26,18,0,"D"
14,19,2,53,160,924,25,137,51.7,"W"
14,31,-21,78,214,1141,40,54,50,"C"
21,50,5,46,165,1180,51,37,51.2,"C"
14,15,3,20,82,936,29,19,14.3,"W"
18,53,-20,17,151,1073,33,12,22,"W"
4,2,-4,14,45,598,3,16,22.2,"W"
7,6,-1,4,45,732,25,70,38.4,"C"
3,10,6,31,52,1037,62,26,0,"D"
27,51,9,14,256,1324,67,30,53.5,"C"
14,43,-15,22,178,1362,79,40,0,"D"
22,63,1,30,170,1066,31,21,42.6,"C"
7,15,3,16,65,747,44,69,58.5,"W"
3,14,12,26,93,1039,121,102,0,"D"
1,8,-19,36,67,957,65,45,0,"D"
21,15,2,16,132,872,29,80,43.4,"W"
6,10,5,14,92,740,63,41,51.2,"W"
36,43,20,54,241,1189,62,140,52.5,"W"
4,11,-2,34,106,1138,153,90,0,"D"
11,15,-18,59,157,864,34,140,54.3,"C"
6,15,5,49,111,1037,82,149,0,"D"
30,33,21,26,224,1166,42,48,57.3,"C"
17,9,-5,30,112,969,36,111,55.1,"C"
7,17,-7,39,83,864,38,53,12.5,"W"
1,8,3,32,79,901,53,126,0,"D"
0,8,-13,83,66,1081,81,116,0,"D"
1,2,-1,27,25,806,31,40,0,"D"
4,8,2,6,30,741,11,19,50,"W"
11,29,4,9,163,858,43,64,12.5,"W"
19,30,5,41,230,907,19,95,51,"C"
15,22,0,12,119,801,24,41,26.3,"W"
29,26,-5,16,179,1050,24,29,25.6,"W"
12,13,4,20,83,938,72,18,54.3,"C"
4,1,-5,10,33,418,7,23,40,"W"
3,8,4,28,46,821,36,121,0,"D"
3,8,-6,64,66,879,81,226,0,"D"
4,9,11,41,76,888,108,121,0,"D"
3,2,-12,0,37,683,3,13,33.3,"C"
3,6,1,36,56,639,27,132,42.4,"W"
5,6,-6,12,44,654,59,123,30.4,"W"
2,5,5,16,45,1208,58,29,0,"D"
0,12,-3,24,47,823,42,48,0,"D"
6,12,-8,30,141,1212,112,114,0,"D"
13,10,-9,45,120,797,26,126,50.5,"C"
11,32,6,28,154,939,28,43,53.6,"C"
21,25,0,34,197,2013,25,96,49.1,"C"
13,22,-16,18,100,915,22,44,63.6,"W"
5,28,7,28,115,1280,152,143,0,"D"
4,8,-6,19,62,713,28,82,18.8,"W"
4,28,-16,18,118,1421,99,24,0,"D"
6,15,23,30,77,1296,139,34,0,"D"
10,23,13,33,113,808,55,83,52.1,"C"
4,2,4,6,53,570,9,35,40,"C"
6,16,-7,53,79,836,42,125,46.5,"W"
14,14,0,18,119,901,28,23,38.8,"W"
28,33,31,58,222,1190,33,189,37,"W"
2,5,-5,24,40,1088,23,71,43.6,"W"
14,29,-3,20,136,901,35,51,26.1,"W"
12,13,3,27,84,830,26,40,54.5,"W"
2,4,-5,12,18,719,4,20,48.1,"C"
12,55,-16,46,332,1515,136,79,0,"D"
6,8,-8,59,90,701,32,65,26.7,"W"
5,39,1,8,88,964,62,21,0,"D"
8,37,15,112,193,1460,100,147,0,"D"
20,15,-4,23,115,968,55,137,37,"W"
13,7,-13,37,104,813,33,147,20.8,"W"
5,13,-4,29,104,799,40,138,40.9,"W"
9,15,-10,33,108,803,35,61,34.1,"W"
7,22,-3,18,128,1604,32,43,53.5,"W"
7,7,-13,20,51,616,22,67,46.3,"C"
0,6,10,45,76,1154,84,89,100,"D"
15,53,0,32,237,1487,146,47,0,"D"
9,6,1,11,85,1472,17,76,50.3,"C"
6,10,2,8,52,728,16,30,17.6,"W"
4,8,5,27,55,908,53,42,0,"D"
1,2,-3,19,52,530,10,113,0,"W"
13,9,4,2,85,1071,11,27,55.8,"C"
5,14,-27,12,143,1400,171,163,0,"D"
9,16,-12,14,94,1051,64,44,0,"D"
7,17,22,60,144,1374,118,141,0,"D"
2,12,15,32,57,917,75,105,0,"D"
9,9,1,26,59,706,29,57,26.8,"W"
3,10,-12,37,79,1092,17,132,39.3,"W"
1,3,-5,4,21,604,14,19,45.5,"C"
1,3,10,8,14,1780,31,21,0,"D"
4,10,2,16,102,1215,72,74,0,"D"
7,10,-12,23,74,793,53,128,53.1,"C"
1,6,-7,35,60,921,84,158,0,"D"
6,4,-4,48,81,633,8,127,11.1,"W"
8,10,-7,53,101,767,53,226,35,"W"
1,14,3,40,73,961,75,77,0,"D"
12,23,18,41,175,912,31,80,49.3,"W"
5,15,14,76,84,2145,116,95,0,"D"
13,12,7,50,146,864,57,216,46.9,"C"
13,21,5,50,123,952,38,145,38.4,"W"
13,10,-29,20,131,960,65,45,45.1,"W"
8,4,0,24,45,600,14,32,25,"W"
11,10,3,20,102,911,72,116,0,"D"
15,12,-6,30,67,720,24,72,45.2,"W"
31,26,8,16,192,1014,26,18,28.6,"W"
9,19,17,14,96,824,51,99,51.8,"C"
12,7,-7,31,119,772,39,117,37.5,"C"
34,27,-2,18,204,1113,72,33,45.8,"C"
31,45,34,31,227,1296,44,74,52.8,"C"
11,26,8,18,117,992,63,76,52.2,"C"
29,60,0,46,247,1241,36,75,53,"C"
11,11,-1,20,104,714,42,14,50.4,"C"
28,37,10,8,188,1122,33,27,0,"W"
1,4,-6,21,43,982,34,74,0,"D"
9,7,-5,36,103,1242,125,24,0,"D"
8,17,0,34,94,995,38,59,52.8,"W"
2,1,-2,6,22,431,7,26,50,"C"
4,3,-13,23,63,2995,89,105,0,"D"
1,11,11,8,44,1125,65,45,0,"D"
4,8,-2,29,53,711,36,127,44.1,"W"
0,8,-18,11,68,994,42,31,100,"D"
28,24,6,6,181,888,25,40,42.4,"W"
16,27,13,19,143,862,26,70,43.3,"W"
6,6,2,28,65,1219,125,76,0,"D"
6,16,-8,48,128,1248,127,244,0,"D"
0,20,-1,34,67,852,70,75,0,"D"
6,14,-4,37,95,1268,79,66,0,"D"
1,12,16,8,54,960,36,48,0,"D"
6,22,-22,18,55,783,36,22,55.1,"C"
10,4,7,55,77,696,30,238,66.7,"W"
5,8,0,17,64,630,14,88,0,"W"
0,2,-2,17,16,512,5,45,48.6,"C"
6,4,-4,8,23,707,14,21,31.6,"W"
5,17,-7,60,88,1039,107,197,0,"D"
3,11,13,10,60,842,55,22,0,"D"
9,36,-7,73,150,1002,28,49,44.9,"W"
14,18,10,26,129,898,28,28,41.7,"W"
7,2,-1,74,26,917,14,39,0,"W"
3,8,17,38,48,989,61,95,0,"D"
10,50,23,54,205,1610,128,127,0,"D"
3,1,-10,28,51,1171,30,81,51,"C"
25,45,-7,30,194,1159,24,40,56.1,"C"
13,33,-28,30,164,1056,27,55,42.5,"W"
6,10,-2,33,89,921,47,145,54.7,"C"
20,28,8,49,165,998,46,127,43.8,"W"
27,32,-22,18,190,2078,49,60,53,"C"
11,12,-5,16,97,1589,26,46,50,"W"
14,36,15,41,176,1429,112,136,100,"D"
1,1,1,6,38,1140,16,62,39.8,"C"
5,13,-5,30,102,1237,132,101,0,"D"
5,19,1,20,138,1034,59,29,100,"D"
